Title,Price (£),Price (€),Rating
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,54.94,5
Paradise Lost (Paradise #1),24.96,29.2,1
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,25.4,4
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,34.95,3
Origins (Alphas 0.5),28.99,33.92,1
One Second (Seven #7),52.94,61.94,2
On the Road (Duluoz Legend),32.36,37.86,3
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,65.12,2
Off Sides (Off #1),39.45,46.16,5
Of Mice and Men,47.11,55.12,2
Myriad (Prentor #1),58.75,68.74,4
My Perfect Mistake (Over the Top #1),38.92,45.54,2
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,46.09,4
Meditations,25.89,30.29,2
Matilda,28.34,33.16,1
Lost Among the Living,27.7,32.41,4
Lord of the Flies,24.89,29.12,3
Listen to Me (Fusion #1),58.99,69.02,3
Kitchens of the Great Midwest,57.2,66.92,5
Jane Eyre,38.43,44.96,5
Imperfect Harmony,34.74,40.65,4
Icing (Aces Hockey #2),40.44,47.31,4
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,52.93,3
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,40.9,4
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,66.41,4
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,47.13,5
Frankenstein,38.0,44.46,2
Forever Rockers (The Rocker #12),28.8,33.7,3
Fighting Fate (Fighting #6),39.24,45.91,3
Emma,32.93,38.53,2
"Eat, Pray, Love",51.32,60.04,3
Deep Under (Walker Security #1),47.09,55.1,5
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,33.25,4
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,26.73,3
Charity's Cross (Charles Towne Belles #4),41.24,48.25,1
Bright Lines,39.07,45.71,5
Bridget Jones's Diary (Bridget Jones #1),29.82,34.89,1
Bounty (Colorado Mountain #7),37.26,43.59,4
Blood Defense (Samantha Brinkman #1),20.3,23.75,3
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,40.54,5
Beyond Good and Evil,43.38,50.75,1
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,64.97,1
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,66.76,4
A Spy's Devotion (The Regency Spies of London #1),16.97,19.85,5
1st to Die (Women's Murder Club #1),53.98,63.16,1
"1,000 Places to See Before You Die",26.08,30.51,5
